#中国电信寻呼 p05
198 全国198/199
624 蛾眉
628 江油
630 重庆
637 南充
641 内江
850 拉萨
null ------昆明局------
650 昆明
652 宜良
655 曲靖
661 开远
671 广通(楚雄)
null ------兰州局------
730 兰州/白银
733 武南
735 嘉峪关
741 天水
750 银川/平凉
816 格尔木
810 西宁
null -------乌局-------
830 乌鲁木齐
839 哈密
841 库尔勒

#民航寻呼 p14
100 北京95808/95809
200 广州95808/95809
210 上海62160500
220 天津24395555
240 沈阳88295555
250 南京4588088
270 武汉85810668
280 成都95808/95809
290 西安95808/95809
311 石家庄95808/95809
315 唐山95808
317 任丘95808/95809
335 秦皇岛95808/95809
351 太原95808/95809
352 大同95808/95809
355 长治95808/95809
371 郑州5908200
411 大连6656666
412 鞍山95808/95809
415 丹东95808/95809
416 锦州95808/95809
422 海城3338800
431 长春95808
433 延吉95808/95809
451 哈尔滨95808/95809
452 齐齐哈尔95808
453 牡丹江6433555
459 大庆95808/95809
471 呼和浩特95808
516 徐州3716999
519 常州6681118
531 济南95808
532 青岛958008/95809
535 烟台95808/95809
536 潍坊95808/95809
551 合肥3638210
559 黄山2513333
570 衢州3052288
574 宁波7361361
576 台州2458181
579 义乌95808/95809
591 福州3433666
592 厦门6029988
599 武夷山5310473
731 长沙4440999
754 汕头95808/95809
754 揭阳95808/95809
754 潮州95808/95809
755 深圳95808/95809
759 湛江95808/95809
771 南宁95808/95809
772 柳州3211808
773 桂林95808/95809
791 南昌95808/95809
811 重庆95808/95809
823 广汉95808/95809
851 贵阳5498888
871 昆明7172222
891 拉萨6181818
898 海口6765888
899 三亚95808/95809
913 渭南95808
951 银川95808/95809
971 西宁95808
991 乌鲁木齐3801818

#瑞华寻呼 p07
002 深圳95938
005 中山95938
004 东莞95938
001 广州95938
042 惠州95938
003 江门95938
058 南海95938
039 顺德95938
047 阳江95938
049 湛江95938
006 珠海95938
95938 95938/95939全国联网

#广西斯壮 p11
9909 9909

#广东国讯 p08
98060 98060
98061 98061
98062 98062
98063 98063
98019 98019
99016 99016
99017 99017
98035 98035
98052 98052
99018 99018
98038 98038
98003 98003
99062 99062
99046 99046
99055 99055
94908 94908
95908 95908
94909 94909
95909 95909
99076 99076
99019 99019
98051 98051

#深圳邮联 p02
95925 95925
9800 9800
9801 9801
9813 9813
9818 9818
9863 9863
9866 9866
9877 9877
9880 9880
9882 9882
9883 9883
9885 9885
9886 9886
9887 9887
9888 9888
9889 9889
9891 9891
9892 9892
9896 9896
9899 9899
9933 9933
9936 9936
9966 9966
9968 9968
9983 9983
9988 9988
9998 9998
9999 9999

#深圳龙飞 p03
95930 95930
99615 99615
94952 94952
9997 9997
2266888 2266888
3228888 3228888
3366366 3366366
3322666 3322666
3322111 3322111
3322333 3322333
3322999 3322999
3366000 3366000
3366888 3366888
3366999 3366999

#川渝奥星传讯 p13
96960 96960/98068(川渝网)

#辽宁华能卫星台 p16
sy 沈阳
dl 大连
as 鞍山
fs 抚顺
bx 本溪
dd 丹东
yk 营口
jz 锦州
fx 阜新
ly 辽阳
tl 铁岭
cy 朝阳
pj 盘锦
jx 葫芦岛

#北京海诚 p20
96300 96300

#陕西海华 p17
sxhh 陕西海华寻呼

#河南星河821 p18
xc821 许昌821台
zz91168 郑州星河91168

#湖北中广 p21
98800/98801 98800/98801

#时代寻呼 p19
212100 上海时代
211000 北京时代
212200 天津时代
212500 南京时代
215120 苏州时代
215710 杭州时代
215730 海盐时代
214110 大连时代
212400 沈阳时代
214160 锦州时代
214120 鞍山时代
214510 哈尔滨时代
214310 长春时代
213510 太原时代
213580 汾阳时代
215310 济南时代
213110 石家庄时代
213190 邢台时代
213120 保定时代
213160 廊坊时代
213150 唐山时代
213130 张家口时代
213100 邯郸时代
213520 大同时代
215510 合肥时代
214530 牡丹江时代
214550 绥化时代
214710 呼和浩特时代
217910 南昌时代

#其他传呼台 p15
93800 上海远望台
100010 北京远望台
94800 上海瑞华台
200037 北京瑞华台
15800 深圳瑞华台
95938 广州瑞华台
95900 北京长城台
